Blockgroup,Average_Income(USD)
530330317031,124731.405
530330317032,96686.42241
530330317033,73835.4531
530330317034,79853.24948
530330317035,138018.9394
530330317041,103996.5197
530330317042,97337.7193
530330317043,97298.15864
530330317051,142258.4856
530330317052,121113.7441
530330317053,114519.4384
530330317061,108073.2044
530330317062,50934.37152
530330317063,117122.4256
530330317064,110030.3951
530330318001,115750.7082
530330318002,115819.8381
530330318003,121698.7179
530330319031,107686.4536
530330319032,102034.687
530330319033,107981.2834
530330319034,111086.3874
530330319035,103582.6772
530330319041,115037.8788
530330319042,95811.47541
530330319043,91156.97674
530330319061,116590.5097
530330319062,146675.7246
530330319071,99325.61308
530330319072,93278.38828
530330319073,98564.61864
530330319074,135433.5793
530330319075,120826.9231
530330319081,86529.58153
530330319082,76502.7137
530330319083,76911.15702
530330319091,105928.1843
530330319092,136895.1613
530330320021,109649.4607
530330320022,96103.44828
530330320031,134012.0275
530330320032,93101.6791
530330320033,110720.339
530330320034,87063.82979
530330320051,75931.87661
530330320052,97445.45455
530330320053,58986.01399
530330320054,111348.6842
530330320055,83466.71949
530330320056,124136.6906
530330320061,87266.74641
530330320062,84697.14286
530330320063,139172.4739
530330320071,135662.2517
530330320072,124046.2963
530330320073,79136.74033
530330320081,127794.1176
530330320082,80735.78595
530330320083,101569.4789
530330320101,69020.75812
530330320102,128491.9725
530330320103,147779.5031
530330320104,103164.0625
